feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
night_share,-0.5559972582277529,0.7910145090226985,0.03368111120829114,-0.014513151101632147,0.16946856983016062,0.14888567556030766,0.05674508953406736,0.04827694379211241,0.01665630067101253,-0.039574989053826275
night_day_ratio,-0.18004386952771784,0.9239610092526327,0.006897133142924295,-0.10085106244005722,0.25698008863139254,0.10561062463365885,0.047434657675023556,0.0770944126371058,0.015695878223677455,-0.05913061703478039
peak_hour_sin,-0.40652656728339487,-0.188793375181377,0.43910675851721437,-0.4141184842672704,0.061756538190027535,0.19898767050617525,-0.16283714778000613,0.06111934091186179,0.4560338172306183,-0.2286545745230361
peak_hour_cos,0.5207035232490602,0.6351311868753011,-0.15361631771403364,0.032483532799786885,-0.06950577784251441,-0.13490776830612522,0.1026607998002083,-0.037152019263570785,-0.37469534678927263,0.1558424918473961
peak_concentration,0.8845149377125063,-0.2995981991273719,0.1422974610880321,-0.09790699666992861,0.22045812305125165,0.026740374065397837,-0.04642778308368435,0.05428757803366022,0.06846599531515042,0.04253860783231028
profile_ramp,0.9232873712885472,-0.1907145108704083,0.2902636582775692,0.00807563664442805,0.12287313899092539,0.01512715034925844,0.006659181707738586,0.026317134963374105,-0.016186354433222524,0.001943621278980316
weekend_ratio,0.20718795889499747,0.2861079270652246,-0.47267090821382857,-0.11104029999310677,-0.5135061533219033,-0.08067478083765908,0.399594207472725,0.039418615748962584,-0.011299339996925504,-0.13626903766503853
weekend_shape_distance,0.791202441101093,0.14408171526255142,0.08221515578279938,-0.19368773758745889,0.07498199663695397,0.02647287185665207,0.08614080772030244,0.06735741809297371,0.026415686788873214,-0.17040870596877766
shape_entropy,-0.7557539877762895,0.5432834525633685,-0.11247229176418093,0.08719626871950828,-0.2574439290482085,-0.01891063207785313,0.06432423433344503,-0.09372754148860084,-0.028395458033914432,0.011698946173603385
shape_gini,0.7892939352971657,-0.5645339222091986,0.0819249970497508,-0.09150747569379619,0.16451047792155446,-0.034193892729024226,-0.028869568033307317,0.05234532135331456,-0.002690470968330701,-0.03330778813079502
