seed,arm,rule_selected,n_features,n_pca_components,cumulative_variance,optimal_k,silhouette,calinski_harabasz,davies_bouldin,stability_mean_ari,stability_std_ari,min_cluster_share,cluster_balance,cluster_sizes,scale_separation,shape_separation,archetype_ari,archetype_nmi,n_true_archetypes
14,behavioral,False,51,14,0.9531195633548913,3,0.3117383080016303,91.35908853230663,1.2338728328727502,0.9871681824376525,0.011301962626625047,0.275,0.632183908045977,"[87, 55, 58]",0.07425914727717998,0.636746032569094,0.5694376658428545,0.6395238345175235,4
14,combined,False,58,15,0.9547867354920532,3,0.2828514102982959,76.86903669608408,1.3506262967275984,0.9868183228270756,0.014091805646897347,0.275,0.632183908045977,"[87, 55, 58]",0.07425914727717998,0.636746032569094,0.5694376658428545,0.6395238345175235,4
15,scale,False,7,2,0.9732182144067251,4,0.4565293054133589,202.60542661224233,0.7720848409947663,1.0,0.0,0.075,0.14563106796116504,"[23, 103, 15, 59]",0.897534488451755,0.2248727666426087,0.0408754815930275,0.12450429739109506,4
15,shape,False,24,9,0.9560809570944041,3,0.3085418789673019,83.4456874832883,1.2070040253809866,0.994860241896396,0.006919611114178014,0.22,0.4943820224719101,"[44, 89, 67]",0.08386062571471874,0.6319934682347649,0.46394585767277724,0.5285814133993298,4
15,summary,True,27,10,0.9533390819045396,3,0.3126044906500088,102.90852072808794,1.2427859481132684,1.0,0.0,0.23,0.46938775510204084,"[98, 56, 46]",0.10968246712832869,0.594014570380584,0.5934674573875893,0.6966123028601665,4
15,behavioral,False,51,14,0.9527054369365774,3,0.298676252808664,88.21336684744779,1.254872164069569,0.9645857935885025,0.02476525079335597,0.24,0.5217391304347826,"[92, 60, 48]",0.09300489675132884,0.6154460819956188,0.5936623084094017,0.6719190868485765,4
15,combined,False,58,15,0.9536173004074499,3,0.2708296818519312,74.51072085508886,1.3526945201944107,0.9715444024687072,0.02477303235706568,0.22,0.4489795918367347,"[98, 44, 58]",0.07734194314041025,0.6095024835963252,0.583845854690007,0.687948189756122,4
16,scale,False,7,2,0.9689677301827473,2,0.5701921086226562,223.76516241338274,0.772229279349362,0.9920360893396791,0.01072174285378089,0.21,0.26582278481012656,"[42, 158]",0.7818052639191586,0.03292553744201487,-0.0013772462333093136,0.005427301628726396,4
16,shape,False,24,8,0.9508144962431944,3,0.31627670139063985,86.90246324535907,1.2160731724478193,0.9816770424316158,0.016026175469400435,0.22,0.5057471264367817,"[69, 87, 44]",0.03245142737603422,0.6399421859187745,0.515792677608662,0.5871943091867121,4
16,summary,True,27,10,0.9547090488086671,3,0.3124210368697394,99.33484558564528,1.2132640512010202,0.9895007500470271,0.009455992009122827,0.22,0.43564356435643564,"[55, 44, 101]",0.04311544374483439,0.6007491250838718,0.5889334891872043,0.7003361596376615,4
16,behavioral,False,51,14,0.9540456246211649,3,0.30169773938688055,88.57893986548581,1.2402210778557543,0.9478355513841479,0.03859045684744943,0.275,0.6875,"[55, 65, 80]",0.044157099690547784,0.6342032207481813,0.5519169449775588,0.6050990440556003,4
16,combined,False,58,15,0.9547477960734528,3,0.2684823637965449,74.0561280483649,1.3717733073405425,0.9743784772052881,0.026008041405018813,0.255,0.6,"[85, 64, 51]",0.04205774460696874,0.6300795290616082,0.5510733720169706,0.6116883636139752,4
17,scale,False,7,2,0.9733612139064152,4,0.455820735721129,224.73772334484076,0.715733229866508,0.9600773927125589,0.0532111349774153,0.08,0.17582417582417584,"[91, 68, 16, 25]",0.8987950177404813,0.24327161821537446,0.09112728021367776,0.2021075984503723,4
17,shape,False,24,8,0.9508614309807635,5,0.3110952242984727,78.7073372589879,1.2412098001460607,1.0,0.0,0.115,0.42592592592592593,"[54, 23, 53, 45, 25]",0.09290949847568306,0.7557751168395429,0.6950260558780534,0.7286771014872142,4
17,summary,True,27,10,0.9506876701379279,4,0.3020068814480915,95.20077999232723,1.14857814672201,0.9783803745393066,0.015623554072275914,0.22,0.7719298245614035,"[49, 44, 50, 57]",0.16514955409839358,0.6782732411147662,0.8837862017183247,0.8841447774446543,4
17,behavioral,False,51,14,0.9541343282864658,3,0.2967305223012398,83.66906763959241,1.2732377924747702,0.9761317107969104,0.02817302302927839,0.24,0.5274725274725275,"[48, 91, 61]",0.05299142113198209,0.6142324836543306,0.6222727388555415,0.7261428818281641,4
17,combined,False,58,14,0.9516650702851135,3,0.269090843071243,70.95012116174146,1.3973694252381785,0.981407834518988,0.014412840362437656,0.245,0.532608695652174,"[49, 59, 92]",0.07617473981654371,0.6111609353363735,0.6250801285371237,0.7177332946019505,4
18,scale,False,7,2,0.9733596561433273,2,0.5476613689175119,238.19191179683665,0.7658507154690186,1.0,0.0,0.245,0.32450331125827814,"[49, 151]",0.8238964686364302,0.04753064294239586,-0.004114937607839475,0.001307038134199658,4
18,shape,False,24,9,0.955763984331653,3,0.30965087123212237,85.60509396770021,1.1355934003997434,0.9838054141036398,0.022044745694094356,0.23,0.48936170212765956,"[46, 94, 60]",0.05273408244708295,0.6410609659136578,0.6108680868486878,0.7053064617188296,4
18,summary,False,27,10,0.951326361878642,3,0.3402785927856775,112.78826529092903,1.1666739091728064,1.0,0.0,0.225,0.4326923076923077,"[104, 51, 45]",0.017330135401424605,0.6252846747775127,0.6073196047044367,0.7330448594293957,4
18,behavioral,True,51,14,0.9521170128576348,3,0.33041397393814753,97.75891817599842,1.184564173111225,1.0,0.0,0.24,0.48,"[100, 52, 48]",0.03746971617496358,0.6387760516337463,0.64517581943045,0.7555108133824949,4
18,combined,False,58,15,0.9538745207382324,3,0.2959805549785131,81.90789645309633,1.3018770120119154,1.0,0.0,0.24,0.48,"[100, 48, 52]",0.03746971617496358,0.6387760516337463,0.64517581943045,0.7555108133824949,4
19,scale,False,7,2,0.9709894881518928,2,0.5621245363145961,242.1679450559313,0.7370566789994832,1.0,0.0,0.225,0.2903225806451613,"[155, 45]",0.8018512364423045,0.026842186487510872,-0.002362613871805834,0.0037751892213228107,4
19,shape,False,24,8,0.9538980578449406,3,0.3286713788218412,90.92470558780583,1.1238578038823974,0.9921364508067626,0.007033372216196725,0.3,0.8108108108108109,"[60, 66, 74]",0.03721956579651324,0.648039246543198,0.5548488543895392,0.6014479026379468,4
19,summary,False,27,11,0.9613162198872184,3,0.32630528552800314,100.99592477230125,1.2055966886897647,1.0,0.0,0.215,0.4095238095238095,"[105, 52, 43]",0.010205463913630548,0.599151229336814,0.5831845721472247,0.7026987079950143,4
19,behavioral,True,51,14,0.9523169320955713,3,0.31829923194711346,91.43678644952128,1.2088247992783316,0.987131059042508,0.013757476569587939,0.26,0.5591397849462365,"[93, 52, 55]",0.030300415885162798,0.6296984789313363,0.6261444548453688,0.7016215612972706,4
19,combined,False,58,15,0.9536573544801141,3,0.2855332108108539,76.32934221767317,1.3378146425276667,1.0,0.0,0.265,0.5638297872340425,"[94, 53, 53]",0.028769799377670952,0.6294154713165421,0.6328614742699833,0.7172405178968269,4
